"","long","lat","group","order","region","subregion","avgvac"
"3391",-103.504821777344,31.5184097290039,2687,78105,"texas","reeves",0.988325281803543
"3392",-103.481910705566,31.4496536254883,2687,78106,"texas","reeves",0.988325281803543
"3393",-103.458984375,31.432466506958,2687,78107,"texas","reeves",0.988325281803543
"3394",-103.418876647949,31.4381923675537,2687,78108,"texas","reeves",0.988325281803543
"3395",-103.298561096191,31.4152774810791,2687,78109,"texas","reeves",0.988325281803543
"3396",-103.269912719727,31.432466506958,2687,78110,"texas","reeves",0.988325281803543
"3397",-103.246994018555,31.3980865478516,2687,78111,"texas","reeves",0.988325281803543
"3398",-103.080841064453,31.3694400787354,2687,78112,"texas","reeves",0.988325281803543
"3399",-103.06364440918,31.3923587799072,2687,78113,"texas","reeves",0.988325281803543
"3400",-103.012077331543,31.3694400787354,2687,78114,"texas","reeves",0.988325281803543
"3401",-103.585037231445,30.7563762664795,2687,78115,"texas","reeves",0.988325281803543
"3402",-97.2538528442383,28.0749320983887,2688,78117,"texas","refugio",0.957834757834758
"3403",-97.2882308959961,28.1035804748535,2688,78118,"texas","refugio",0.957834757834758
"3404",-97.3283386230469,28.1551456451416,2688,78119,"texas","refugio",0.957834757834758
"3405",-97.4257431030273,28.1264991760254,2688,78120,"texas","refugio",0.957834757834758
"3406",-97.494499206543,28.1895236968994,2688,78121,"texas","refugio",0.957834757834758
"3407",-97.5231475830078,28.1723346710205,2688,78122,"texas","refugio",0.957834757834758
"3408",-97.5345993041992,28.1780643463135,2688,78123,"texas","refugio",0.957834757834758
"3409",-97.3741760253906,28.395788192749,2688,78124,"texas","refugio",0.957834757834758
"3410",-97.1736373901367,28.5562171936035,2688,78125,"texas","refugio",0.957834757834758
"3411",-97.1507263183594,28.5676765441895,2688,78126,"texas","refugio",0.957834757834758
"3412",-97.1392669677734,28.5447578430176,2688,78127,"texas","refugio",0.957834757834758
"3413",-97.1163482666016,28.5562171936035,2688,78128,"texas","refugio",0.957834757834758
"3414",-97.1048889160156,28.5447578430176,2688,78129,"texas","refugio",0.957834757834758
"3415",-97.0647811889648,28.5504856109619,2688,78130,"texas","refugio",0.957834757834758
"3416",-97.0533218383789,28.5447578430176,2688,78131,"texas","refugio",0.957834757834758
"3417",-97.0246734619141,28.5103797912598,2688,78132,"texas","refugio",0.957834757834758
"3418",-96.9616470336914,28.5103797912598,2688,78133,"texas","refugio",0.957834757834758
"3419",-96.9387283325195,28.4931907653809,2688,78134,"texas","refugio",0.957834757834758
"3420",-96.9158096313477,28.4931907653809,2688,78135,"texas","refugio",0.957834757834758
"3421",-96.9100875854492,28.5103797912598,2688,78136,"texas","refugio",0.957834757834758
"3422",-96.8928909301758,28.5103797912598,2688,78137,"texas","refugio",0.957834757834758
"3423",-96.8757019042969,28.4931907653809,2688,78138,"texas","refugio",0.957834757834758
"3424",-96.8413238525391,28.4530849456787,2688,78139,"texas","refugio",0.957834757834758
"3425",-96.8241424560547,28.4416255950928,2688,78140,"texas","refugio",0.957834757834758
"3426",-96.8012161254883,28.4473533630371,2688,78141,"texas","refugio",0.957834757834758
"3427",-96.7954864501953,28.4244365692139,2688,78142,"texas","refugio",0.957834757834758
"3428",-96.7954864501953,28.407247543335,2688,78143,"texas","refugio",0.957834757834758
"3429",-96.8126754760742,28.407247543335,2688,78144,"texas","refugio",0.957834757834758
"3430",-96.8355941772461,28.4301662445068,2688,78145,"texas","refugio",0.957834757834758
"3431",-96.858512878418,28.4358959197998,2688,78146,"texas","refugio",0.957834757834758
"3432",-96.8699798583984,28.4187068939209,2688,78147,"texas","refugio",0.957834757834758
"3433",-96.852783203125,28.401517868042,2688,78148,"texas","refugio",0.957834757834758
"3434",-96.8298721313477,28.3728713989258,2688,78149,"texas","refugio",0.957834757834758
"3435",-96.8069458007812,28.3442230224609,2688,78150,"texas","refugio",0.957834757834758
"3436",-96.8012161254883,28.3155746459961,2688,78151,"texas","refugio",0.957834757834758
"3437",-97.0189437866211,28.2754669189453,2688,78152,"texas","refugio",0.957834757834758
"3438",-97.1106185913086,28.2640075683594,2688,78153,"texas","refugio",0.957834757834758
"3439",-97.127799987793,28.2525482177734,2688,78154,"texas","refugio",0.957834757834758
"3440",-97.127799987793,28.2353591918945,2688,78155,"texas","refugio",0.957834757834758
"3441",-97.1106185913086,28.2181720733643,2688,78156,"texas","refugio",0.957834757834758
"3442",-97.0762405395508,28.2067127227783,2688,78157,"texas","refugio",0.957834757834758
"3443",-97.1106185913086,28.1895236968994,2688,78158,"texas","refugio",0.957834757834758
"3444",-97.1220703125,28.1723346710205,2688,78159,"texas","refugio",0.957834757834758
"3445",-97.1449966430664,28.1666049957275,2688,78160,"texas","refugio",0.957834757834758
"3446",-97.1621780395508,28.1837940216064,2688,78161,"texas","refugio",0.957834757834758
"3447",-97.1908340454102,28.1895236968994,2688,78162,"texas","refugio",0.957834757834758
"3448",-97.2137451171875,28.1837940216064,2688,78163,"texas","refugio",0.957834757834758
"3449",-97.1908340454102,28.1608753204346,2688,78164,"texas","refugio",0.957834757834758
"3450",-97.1908340454102,28.1494159698486,2688,78165,"texas","refugio",0.957834757834758
"3451",-97.2022857666016,28.1264991760254,2688,78166,"texas","refugio",0.957834757834758
"3452",-97.2481231689453,28.0978488922119,2688,78167,"texas","refugio",0.957834757834758
"3453",-97.2653121948242,28.0978488922119,2688,78168,"texas","refugio",0.957834757834758
"3454",-97.2538528442383,28.0749320983887,2688,78169,"texas","refugio",0.957834757834758
"3455",-100.536903381348,35.6150550842285,2689,78171,"texas","roberts",1
"3456",-101.081214904785,35.6150550842285,2689,78172,"texas","roberts",1
"3457",-101.075485229492,36.0505027770996,2689,78173,"texas","roberts",1
"3458",-100.542633056641,36.0447769165039,2689,78174,"texas","roberts",1
"3459",-100.536903381348,35.6150550842285,2689,78175,"texas","roberts",1
"3460",-96.6293258666992,30.7334575653076,2690,78177,"texas","robertson",0.950851598236302
"3461",-96.6350631713867,30.7735633850098,2690,78178,"texas","robertson",0.950851598236302
"3462",-96.6522521972656,30.7792911529541,2690,78179,"texas","robertson",0.950851598236302
"3463",-96.6522521972656,30.8079414367676,2690,78180,"texas","robertson",0.950851598236302
"3464",-96.6980895996094,30.8824234008789,2690,78181,"texas","robertson",0.950851598236302
"3465",-96.7381973266602,30.9110736846924,2690,78182,"texas","robertson",0.950851598236302
"3466",-96.7668380737305,30.9626407623291,2690,78183,"texas","robertson",0.950851598236302
"3467",-96.7553787231445,30.979829788208,2690,78184,"texas","robertson",0.950851598236302
"3468",-96.7783050537109,31.0084743499756,2690,78185,"texas","robertson",0.950851598236302
"3469",-96.7611083984375,31.0371246337891,2690,78186,"texas","robertson",0.950851598236302
"3470",-96.8241424560547,31.0543117523193,2690,78187,"texas","robertson",0.950851598236302
"3471",-96.8184127807617,31.0886878967285,2690,78188,"texas","robertson",0.950851598236302
"3472",-96.8298721313477,31.0944194793701,2690,78189,"texas","robertson",0.950851598236302
"3473",-96.589225769043,31.2262001037598,2690,78190,"texas","robertson",0.950851598236302
"3474",-96.3313980102539,31.3579788208008,2690,78191,"texas","robertson",0.950851598236302
"3475",-96.3313980102539,31.3350601196289,2690,78192,"texas","robertson",0.950851598236302
"3476",-96.3485794067383,31.2892265319824,2690,78193,"texas","robertson",0.950851598236302
"3477",-96.3371200561523,31.2491188049316,2690,78194,"texas","robertson",0.950851598236302
"3478",-96.2855606079102,31.1116065979004,2690,78195,"texas","robertson",0.950851598236302
"3479",-96.2912902832031,31.0944194793701,2690,78196,"texas","robertson",0.950851598236302
"3480",-96.2683639526367,31.0772304534912,2690,78197,"texas","robertson",0.950851598236302
"3481",-96.2683639526367,31.0084743499756,2690,78198,"texas","robertson",0.950851598236302
"3482",-96.2454528808594,30.9683685302734,2690,78199,"texas","robertson",0.950851598236302
"3483",-96.3428497314453,30.9397220611572,2690,78200,"texas","robertson",0.950851598236302
"3484",-96.3657760620117,30.8938846588135,2690,78201,"texas","robertson",0.950851598236302
"3485",-96.3829574584961,30.8824234008789,2690,78202,"texas","robertson",0.950851598236302
"3486",-96.4459838867188,30.7678337097168,2690,78203,"texas","robertson",0.950851598236302
"3487",-96.5147399902344,30.727725982666,2690,78204,"texas","robertson",0.950851598236302
"3488",-96.577766418457,30.6876201629639,2690,78205,"texas","robertson",0.950851598236302
"3489",-96.6293258666992,30.7334575653076,2690,78206,"texas","robertson",0.950851598236302
"3490",-96.2970123291016,32.985179901123,2691,78208,"texas","rockwall",0.947385817475913
"3491",-96.2970123291016,32.8476715087891,2691,78209,"texas","rockwall",0.947385817475913
"3492",-96.3084716796875,32.8247528076172,2691,78210,"texas","rockwall",0.947385817475913
"3493",-96.5204696655273,32.8190231323242,2691,78211,"texas","rockwall",0.947385817475913
"3494",-96.5204696655273,32.985179901123,2691,78212,"texas","rockwall",0.947385817475913
"3495",-96.2970123291016,32.985179901123,2691,78213,"texas","rockwall",0.947385817475913
"3496",-100.14729309082,32.0741806030273,2692,78215,"texas","runnels",0.938664029214851
"3497",-99.7290344238281,32.0741806030273,2692,78216,"texas","runnels",0.938664029214851
