id,diverse_1994,diverse_2016,total_1994,total_2016
500015,1,1,3751,4238
500016,1,1,712,813
500017,1,1,2684,3301
500019,1,1,2236,3193
500020,1,1,668,585
500021,1,1,626,525
500023,1,1,2147,1272
500026,1,1,7319,4070
500028,1,1,1446,1588
500029,1,1,1418,1331
500030,1,1,675,389
500032,1,1,643,468
500041,1,1,403,414
500042,1,1,1881,1998
500043,1,1,3817,2661
500044,1,1,3179,2874
500045,1,1,1721,1246
500046,1,1,973,1115
500047,1,1,1800,1629
500048,1,1,902,778
500049,1,1,1621,2386
500051,1,1,686,802
502250,1,1,2619,3152
502280,1,1,478,528
502430,1,1,2412,1856
502550,1,1,302,447
502580,1,1,1882,1419
502610,1,1,1167,1034
502670,1,1,661,432
502700,1,1,1450,1270
502730,1,1,766,830
502790,1,1,758,1634
502820,1,1,618,590
502880,1,1,1846,3332
502960,1,1,4424,5202
503030,1,1,925,1965
503060,1,1,5080,16609
503090,1,1,819,1167
503150,1,1,1556,1987
503240,1,1,903,1023
503300,1,1,517,497
503320,1,1,4122,1513
503420,1,1,404,363
503450,1,1,1485,1253
503480,1,1,593,474
503630,1,1,1262,534
503640,1,1,948,2482
503690,1,1,5530,9253
503710,1,1,925,783
503750,1,1,5446,10397
503770,1,1,627,611
503840,1,1,497,430
503960,1,1,675,703
504020,1,1,1405,1797
504050,1,1,1039,883
504080,1,1,843,813
504110,1,1,880,1147
504170,1,1,552,764
504200,1,1,806,944
504350,1,1,619,517
504370,1,1,752,634
504380,1,1,1366,2610
504410,1,1,1117,1387
504560,1,1,494,492
504590,1,1,6779,10198
504680,1,1,604,707
504740,1,1,612,472
504800,1,1,2793,1823
504860,1,1,528,598
504890,1,1,622,877
504930,1,1,1595,2104
504980,1,1,552,632
505170,1,1,1019,372
505190,1,1,678,551
505340,1,1,613,587
505410,1,1,1890,1290
505430,1,1,1364,1423
505470,1,1,1128,1078
505500,1,1,2126,1359
505550,1,1,930,638
505580,1,1,584,679
505680,1,1,4886,4421
505760,1,1,842,1210
505850,1,1,1107,767
505970,1,1,803,647
506060,1,1,3928,2586
506090,1,1,1243,1955
506120,1,1,7378,9816
506150,1,1,893,878
506210,1,1,1387,813
506240,1,1,537,494
506270,1,1,4853,2594
506330,1,1,12514,14829
506360,1,1,850,1143
506420,1,1,1076,553
506540,1,1,1446,935
506630,1,1,971,1060
506690,1,1,529,959
506840,1,1,990,1911
506870,1,1,1234,1312
506900,1,1,2010,3560
506930,1,1,799,795
506990,1,1,1994,3769
507110,1,1,887,774
507140,1,1,269,392
507170,1,1,549,851
507230,1,1,935,572
507290,1,1,794,987
507320,1,1,722,1266
507350,1,1,1039,1211
507380,1,1,2850,2635
507530,1,1,494,673
507560,1,1,1469,1740
507620,1,1,730,597
507680,1,1,4012,1421
507710,1,1,601,459
507770,1,1,1454,1583
507840,1,1,3232,2196
507860,1,1,680,863
507890,1,1,3460,2824
507920,1,1,639,919
507990,1,1,1043,886
508040,1,1,6063,4538
508130,1,1,1893,2419
508240,1,1,626,893
508280,1,1,4528,5086
508340,1,1,828,680
508400,1,1,1114,1344
508490,1,1,414,348
508610,1,1,2805,4372
508640,1,1,1217,1086
508670,1,1,2327,3558
508700,1,1,1084,1374
508730,1,1,806,869
508940,1,1,1077,747
509000,1,1,23923,24383
509060,1,1,1794,1812
509150,1,1,504,605
509190,1,1,675,728
509240,1,1,2711,2059
509270,1,1,516,487
509330,1,1,926,781
509360,1,1,2284,814
509390,1,1,2368,3898
509420,1,1,903,579
509480,1,1,806,888
509510,1,1,832,390
509540,1,1,810,1121
509570,1,1,538,479
509600,1,1,829,634
509630,1,1,1473,1240
509720,1,1,539,872
509750,1,1,1897,1737
509780,1,1,537,405
509840,1,1,2143,2020
509990,1,1,567,471
510080,1,1,377,514
510170,1,1,661,549
510200,1,1,1277,1731
510260,1,1,804,678
510290,1,1,465,384
510320,1,1,601,715
510380,1,1,1842,1932
510410,1,1,416,470
510440,1,1,2080,3420
510560,1,1,491,451
510680,1,1,8957,9015
510920,1,1,386,422
510950,1,1,2113,892
510980,1,1,412,531
511010,1,1,1505,1904
511070,1,1,654,729
511130,1,1,1320,1133
511220,1,1,750,869
511340,1,1,934,947
511370,1,1,1040,928
511610,1,1,1878,1952
511700,1,1,867,1750
511730,1,1,403,600
511760,1,1,1253,1929
511820,1,1,1140,999
511850,1,1,20420,12926
511880,1,1,640,667
511970,1,1,8737,15102
512000,1,1,592,842
512060,1,1,4834,5451
512090,1,1,763,816
512180,1,1,411,426
512210,1,1,3626,4106
512420,1,1,533,371
512450,1,1,2513,3010
512480,1,1,544,770
512510,1,1,812,1235
512520,1,1,2641,2328
512540,1,1,1371,1592
512570,1,1,469,528
512630,1,1,418,584
512660,1,1,8899,22269
512930,1,1,584,321
512960,1,1,2301,1615
513080,1,1,2500,3828
513110,1,1,5599,4500
513230,1,1,590,997
513350,1,1,855,914
513380,1,1,1060,2843
513410,1,1,5043,5897
513530,1,1,2026,3255
513560,1,1,461,388
513680,1,1,1685,1627
513930,1,1,3584,2591
514010,1,1,1032,1120
514020,1,1,647,684
514040,1,1,519,442
514140,1,1,2890,2808
514370,1,1,478,493
514400,1,1,498,578
514430,1,1,2872,2665
514490,1,1,1009,757
600001,1,1,2106,1094
600006,1,1,1739,2225
600009,1,1,319,223
600011,1,1,530,126
600012,1,1,390,95
600013,1,1,4603,11449
600014,1,1,14500,20770
600015,1,1,1273,708
600016,1,1,11531,10831
600017,1,1,11975,12735
600018,1,1,683,267
600019,1,1,3578,10608
600020,1,1,10109,14627
600021,1,1,207,278
600022,1,1,2085,3316
600025,1,1,4792,6735
600026,1,1,1203,785
600027,1,1,13505,20874
600028,1,1,11085,27916
600029,1,1,7873,22700
600031,1,1,68,14
600032,1,1,6916,9686
600033,1,1,2585,2283
600034,1,1,2329,3903
600035,1,1,1409,2531
600036,1,1,3085,9636
600037,1,1,599,513
600038,1,1,153,57
600039,1,1,1333,2589
601620,1,1,21614,20322
601650,1,1,4331,5476
601710,1,1,2961,8321
601770,1,1,10220,8813
601860,1,1,2919,3692
601890,1,1,132,130
601950,1,1,5885,9000
601980,1,1,85,78
602010,1,1,367,339
602070,1,1,175,80
602100,1,1,2085,1667
602160,1,1,7757,5985
602220,1,1,506,555
602250,1,1,207,104
602310,1,1,15837,7986
602360,1,1,386,381
602430,1,1,16322,18974
602450,1,1,4600,3750
602610,1,1,17537,18302
602630,1,1,23709,29819
602670,1,1,2285,1800
602700,1,1,2158,1473
602730,1,1,607,493
602760,1,1,485,747
602820,1,1,13874,19640
602850,1,1,14923,15381
602970,1,1,8762,9466
603000,1,1,975,511
603030,1,1,1784,1424
603060,1,1,516,451
603090,1,1,354,254
603180,1,1,962,964
603270,1,1,2309,3028
603300,1,1,6024,4482
603420,1,1,4712,4954
603480,1,1,2875,1210
603600,1,1,11400,8582
603610,1,1,212,124
603630,1,1,26190,30316
603690,1,1,15979,13279
603720,1,1,130,129
603750,1,1,338,373
603780,1,1,177,87
603840,1,1,4657,4298
603870,1,1,274,361
604020,1,1,7079,5999
604080,1,1,1209,864
604110,1,1,5693,3643
604200,1,1,445,368
604230,1,1,3350,2470
604260,1,1,1728,1810
604290,1,1,3387,9459
604350,1,1,515,361
604380,1,1,1354,1755
604440,1,1,11724,11896
604500,1,1,239,147
604530,1,1,2126,4212
604560,1,1,65,32
604620,1,1,5009,4786
604650,1,1,863,1030
604740,1,1,8018,9567
604800,1,1,8760,7292
604830,1,1,5032,3988
604860,1,1,116,55
604890,1,1,68,18
604950,1,1,322,171
604980,1,1,212,179
605010,1,1,406,147
605040,1,1,845,613
605190,1,1,28,32
605220,1,1,469,213
605240,1,1,2200,1051
605250,1,1,10,11
605280,1,1,141,197
605400,1,1,298,169
605490,1,1,24,20
605520,1,1,212,85
605580,1,1,9735,16868
605610,1,1,9846,10083
605640,1,1,280,163
605700,1,1,418,411
605730,1,1,43,74
605790,1,1,3801,3992
605820,1,1,1747,1672
605880,1,1,5696,5828
605910,1,1,2400,8891
605940,1,1,846,653
606000,1,1,94,25
606030,1,1,372,542
606060,1,1,584,463
606090,1,1,577,466
606100,1,1,163,152
606270,1,1,3387,4357
606330,1,1,526,614
606360,1,1,4966,4822
606390,1,1,11373,17898
606420,1,1,132,209
606450,1,1,13402,14964
606480,1,1,2294,3408
606510,1,1,104,96
606540,1,1,117,112
606570,1,1,2033,2716
606580,1,1,435,308
606690,1,1,102,211
606720,1,1,406,374
606750,1,1,882,1600
606780,1,1,3609,3237
606810,1,1,18360,16133
606870,1,1,3758,2833
606900,1,1,7086,9065
606960,1,1,119,51
606990,1,1,1462,1150
607020,1,1,818,843
607140,1,1,2646,967
607170,1,1,558,413
607200,1,1,7279,654
607230,1,1,6268,7523
607260,1,1,113,63
607350,1,1,63,72
607410,1,1,159,192
607440,1,1,33326,47697
607470,1,1,943,704
607500,1,1,7182,11025
607530,1,1,2387,2487
607560,1,1,2877,2163
607680,1,1,1940,1059
607740,1,1,1740,2233
607770,1,1,40,50
607800,1,1,6889,9197
607840,1,1,320,211
607900,1,1,5155,4339
607920,1,1,5960,6150
607950,1,1,4781,4535
607970,1,1,7235,15394
607980,1,1,2014,1777
608010,1,1,3138,3967
608070,1,1,4785,4416
608130,1,1,8773,13137
608160,1,1,15560,23241
608190,1,1,6183,4754
608250,1,1,791,600
608340,1,1,177,127
608370,1,1,13640,10716
608460,1,1,27450,27344
608520,1,1,1562,2203
608550,1,1,819,1051
608580,1,1,248,338
608610,1,1,18799,23482
608640,1,1,36,23
608700,1,1,315,12
608760,1,1,6331,6902
608850,1,1,182,244
608880,1,1,160,144
608970,1,1,1534,1398
609030,1,1,28604,41986
609070,1,1,10412,18373
609120,1,1,3846,4362
609240,1,1,26,7
609270,1,1,192,169
609300,1,1,511,312
609330,1,1,672,198
609390,1,1,18430,22356
