"","occupation","lessthanhs","hsdiploma","somecollege","associates","bachelors","masters","professional","hsorless","somecollegeorassociates","postgrad","TOT_EMP","A_MEDIAN","natlwage","typicaled","workexp","probability","total"
"339","Plasterers and Stucco Masons",46.3,39.4,10.1,1.7,2.3,0.1,0.1,85.7,11.8,0.2,24180,40750,1098013800,"No formal educational credential","None",0.84,21100
"340","Podiatrists",0,0,0,0,0,1.7,98.3,0,0,100,9670,127740,1435704900,"Doctoral or professional degree","None",0.0046,9320
"341","Political Scientists",0,3,5.5,2.4,35.6,38.7,14.9,3,7.9,53.6,6320,115110,708029600,"Master's degree","None",0.039,5960
"342","Postal Service Clerks",3.4,31,38.3,11.5,13.7,1.8,0.1,34.4,49.8,1.9,82890,58550,4122119700,"High school diploma or equivalent","None",0.95,82010
"343","Postal Service Mail Carriers",2.9,34.4,35.9,12.2,12.7,1.5,0.4,37.3,48.1,1.9,336900,57000,16851738000,"High school diploma or equivalent","None",0.68,329030
"344","Postmasters and Mail Superintendents",2.8,13.8,18.6,7.5,36,17.7,3.6,16.6,26.1,21.3,13960,74840,1056213600,"High school diploma or equivalent","Less than 5 years",0.75,14760
"345","Power Distributors and Dispatchers",1.1,28.2,32.6,18.2,17.3,2.4,0.3,29.3,50.8,2.7,12110,82510,996774100,"High school diploma or equivalent","None",0.64,11080
"346","Power Plant Operators",1.1,28.2,32.6,18.2,17.3,2.4,0.3,29.3,50.8,2.7,34170,77180,2595894900,"High school diploma or equivalent","None",0.85,34520
"347","Prepress Technicians and Workers",11.5,30.4,26.4,13.3,14.9,2.9,0.6,41.9,39.7,3.5,31500,39910,1315755000,"Postsecondary nondegree award","None",0.97,32800
"348","Print Binding and Finishing Workers",12,48.1,22.3,9.9,6.7,0.8,0.2,60.1,32.2,1,48680,32040,1657067200,"High school diploma or equivalent","None",0.95,52590
"349","Printing Press Operators",11.3,46.8,25.2,7.4,8.5,0.7,0.2,58.1,32.6,0.9,171130,35760,6478981800,"High school diploma or equivalent","None",0.83,169930
"350","Private Detectives and Investigators",0.6,7.6,20.9,8.8,45.9,13.4,2.7,8.2,29.7,16.1,30980,50700,1706378400,"High school diploma or equivalent","Less than 5 years",0.31,25750
"351","Probation Officers and Correctional Treatment Specialists",0.7,5.7,11.7,5,57.6,18.1,1.1,6.4,16.7,19.2,87700,51410,4966451000,"Bachelor's degree","None",0.25,84580
"352","Procurement Clerks",2,21.1,25.9,8.9,29.3,12.1,0.6,23.1,34.8,12.7,70510,41910,2983983200,"High school diploma or equivalent","None",0.98,72100
"353","Producers and Directors",0.8,5.1,13.2,5.2,59.2,13.9,2.5,5.9,18.4,16.4,117520,71620,10667290400,"Bachelor's degree","Less than 5 years",0.022,114530
"354","Proofreaders and Copy Markers",1.2,7.2,24.7,4.6,44,16.5,1.8,8.4,29.3,18.3,11420,37550,461482200,"Bachelor's degree","None",0.84,9480
"355","Prosthodontists",0,0,0,0,0,2.4,97.6,0,0,100,430,185150,84692800,"Doctoral or professional degree","None",0.055,0
